,CRITERE,PRIX,TECHNIQUE,QUALITE,DELAI,AUTRE
17249,Valeur technique jugée : -nombre de véhicules climatisés de plus de 50 places ; - possibilité de fournir au moins 5 bus les mercredis midis (navette écoles/ALSH ; - nombre de véhicules de plus de 58 places ; - rapidité des interventions exceptionnelles,0,1,0,0,0
16663,Valeur technique de loffre,0,1,0,0,0
6872,Valur technique (jugée par rapport au mémoire technique,0,1,0,0,0
16847,Valeur technique,0,1,0,0,0
759,Valeur technique,0,1,0,0,0
30832,Prix des prestations,1,0,0,0,0
17231,Prix des prestations,1,0,0,0,0
548,Valeur technique jugée au regard du mémoire technique,0,1,0,0,0
2048,prix,1,0,0,0,0
11262,Moyens techniques,0,1,0,0,0
25154,Valeur technique,0,1,0,0,0
7493,Valeur technique (compréhension et qualité de la note méthodologique pour chaque phase de la mission,0,1,0,0,0
28140,Prix des prestations,1,0,0,0,0
19565,La valeur technique de loffre et les dispositions prises dans le mémoire technique justificatif par rapport à la méthodologie,0,1,0,0,0
28470,Valeur technique (Qualité de la DPGF,0,1,0,0,0
6037,La présentation du candidat,0,0,0,0,1
30191,Prix des prestations,1,0,0,0,0
24205,prix des prestations,1,0,0,0,0
11110,Valeur technique : 60 points (cf article 6-2 du RC pour la sous-pondération,0,1,0,0,0
23610,Prix des prestations,1,0,0,0,0
1412,Prix : 60 points,1,0,0,0,0
28433,Partie technique (cf. détail des sous critères dans RC,0,1,0,0,0
24943,Performance écologique des produits,0,0,0,0,1
6142,Prix des prestations,1,0,0,0,0
7571,Valeur technique,0,1,0,0,0
7256,critère économique,1,0,0,0,0
13257,Valeur technique,0,1,0,0,0
26563,Valeur technique de loffre,0,1,0,0,0
2754,Prix des prestations,1,0,0,0,0
13923,Valeur technique pour assurer les travaux,0,1,0,0,0
18992,valeur technique au vu du mémoire technique,0,1,0,0,0
14935,prix des prestations,1,0,0,0,0
10269,Valeur technique de loffre,0,1,0,0,0
1185,Valeur technique,0,1,0,0,0
8506,Valeur technique,0,1,0,0,0
15133,Lot 4 - Prix,1,0,0,0,0
7024,Prix des prestations,1,0,0,0,0
12110,Valeur technique,0,1,0,0,0
11458,Prix des prestations,1,0,0,0,0
2037,Valeur Technique et valeur environnementale,0,1,0,0,0
21118,Organisation et suivi du traitement des déchets,0,0,0,0,1
28982,Valeur technique (Qualité du DPGF,0,1,0,0,0
29893,Délai dexécution ou de livraison,0,0,0,1,0
26418,Valeur technique de loffre,0,1,0,0,0
3436,valeur technique,0,1,0,0,0
30956,Valeur technique de loffre (note sur 20,0,1,0,0,0
12384,Valeur technique,0,1,0,0,0
2642,Prix de loffre,1,0,0,0,0
17882,Valeur technique,0,1,0,0,0
17838,prix,1,0,0,0,0
21820,Prix des prestations,1,0,0,0,0
1250,Valeur technique,0,1,0,0,0
30214,prix,1,0,0,0,0
19805,VALEUR TECHNIQUE,0,1,0,0,0
15650,Valeur technique de loffre,0,1,0,0,0
26233,Qualité de loffre,0,0,1,0,0
16296,Prix - cf. RC,1,0,0,0,0
21623,Note méthodologique,0,0,0,0,1
7386,Prix des prestations,1,0,0,0,0
10866,Technique,0,1,0,0,0
8568,prix,1,0,0,0,0
14160,Prix des Prestaions,1,0,0,0,0
12363,Lot 1 : Prix des prestations,1,0,0,0,0
23763,Valeur environnementale des prestations,0,0,0,0,1
12206,Valeur technique,0,1,0,0,0
30768,Critère technique,0,1,0,0,0
19061,Prix des prestations,1,0,0,0,0
27941,Prix de lensemble des prestations,1,0,0,0,0
16941,note méthodologique,0,0,0,0,1
4911,Prix des prestations en fonction du DQE,1,0,0,0,0
30577,Délai de livraison,0,0,0,1,0
12096,valeur technique (s/critère 1 : méthodologie proposée 30 points - s/critère 2 : moyens et expérience des personnes affectées à la mission 30 points,0,1,0,0,0
8607,Qualité technique (les sous critères sont détaillés dans RC,0,1,0,0,0
17137,Prix des prestations,1,0,0,0,0
18860,Valeur technique,0,1,0,0,0
27689,valeur technique,0,1,0,0,0
11585,Valeur technique,0,1,0,0,0
15216,Valeur technique jugée au vu des fiches techniques (0.30 %,0,1,0,0,0
4792,Prix des prestations (évalué sur le détail quantitatif estimatif des lots,1,0,0,0,0
1195,valeur technique,0,1,0,0,0
18797,Prix : cohérence des prix unitaires/10,1,0,0,0,0
23588,Valeur technique,0,1,0,0,0
11062,Valeur technique (appréciée au regard de sous-critères,0,1,0,0,0
1209,Prix des prestations,1,0,0,0,0
14484,Prix des prestations au regard du Détail Estimatif,1,0,0,0,0
29654,Valeur technique,0,1,0,0,0
15964,Qualité et étendu des prestations,0,0,1,0,0
24192,Prix des prestations,1,0,0,0,0
13600,Prix des prestations,1,0,0,0,0
5659,Valeur technique,0,1,0,0,0
23268,Valeur technique,0,1,0,0,0
10782,originalité des plats et cohérence gustative,0,0,0,0,1
17066,Valeur Technique,0,1,0,0,0
15936,Valeur technique de loffre,0,1,0,0,0
26424,&#61656;Prix,1,0,0,0,0
4142,Critère prix,1,0,0,0,0
24604,Valeur technique des matériaux et matériels/ Fournitures avec performances,0,1,0,0,0
3331,Valeur technique,0,1,0,0,0
2840,Valeur technique,0,1,0,0,0
19154,Valeur technique de loffre (note détaillée sur la méthodologie envisagée,0,1,0,0,0
5574,Valeur technique jugée par rapport (aux fiches techniques,0,1,0,0,0
29856,Qualité de la prestation,0,0,1,0,0
14171,Prix des prestations,1,0,0,0,0
23861,pertinence de laffectation des intervenants et de la répartition de leurs rôles,0,0,0,0,1
30478,prix des prestations,1,0,0,0,0
12193,Prix des prestations,1,0,0,0,0
5389,Valeur technique,0,1,0,0,0
9580,1-Prix des prestations,1,0,0,0,0
9032,valeur technique (qualité de la méthode et des outils proposés - Qualité des moyens humains mis en oeuvre pour la réalisation,0,1,0,0,0
24976,Moyens techniques et humains développés,0,1,0,0,0
27507,Valeur technique de loffre (note méthodologique(note sur 20,0,1,0,0,0
30456,Prix des prestations,1,0,0,0,0
30048,Valeur technique,0,1,0,0,0
28718,qualité,0,0,1,0,0
13019,Valeur technique,0,1,0,0,0
15748,Valeur technique,0,1,0,0,0
11808,Prix : pondération 60 points,1,0,0,0,0
5271,Valeur technique de loffre,0,1,0,0,0
477,Valeur technique (moyens matériels et humains,0,1,0,0,0
3086,prix des prestations,1,0,0,0,0
22111,VALEUR TECHNIQUE,0,1,0,0,0
21670,Prix des prestations,1,0,0,0,0
5207,Valeur technique,0,1,0,0,0
27831,Valeur technique et environnementale de loffre,0,1,0,0,0
6500,Valeur technique de loffre,0,1,0,0,0
8672,Valeur technique,0,1,0,0,0
20166,Prix des prestations,1,0,0,0,0
7601,Qualité et pertinence de la note méthologique et de sa présentation lors de laudition du candidat,0,0,1,0,0
30323,prix des prestations,1,0,0,0,0
6495,prix des prestations,1,0,0,0,0
6680,Prix : pondération 60 points,1,0,0,0,0
10856,Offre économiquement la plus avantageuse,1,0,0,0,0
16311,Valeur technique appréciée notamment au vu du mémoire technique,0,1,0,0,0
30497,Prix des prestations au vu du détail estimatif,1,0,0,0,0
16926,Prix : pondération 40 points,1,0,0,0,0
1414,Valeur technique appréciée au regard du mémoire technique et de la Décomposition du Prix Global et Forfaitaire (D.P.G.F,0,1,0,0,0
24705,Prix des prestations,1,0,0,0,0
15229,prix des prestations,1,0,0,0,0
108,Valeur technique (Moyens humains et interlocuteurs affectés à lexécution et au suivi des travaux /10,0,1,0,0,0
18621,Valeur technique de loffre,0,1,0,0,0
12915,valeur technique,0,1,0,0,0
8501,- Valeur technique et organisationnelle,0,1,0,0,0
21578,prix des prestations,1,0,0,0,0
12732,valeur technique,0,1,0,0,0
18336,Prix des prestations,1,0,0,0,0
19187,Prix des prestations,1,0,0,0,0
2597,Valeur technique de loffre,0,1,0,0,0
18771,Prix des prestations,1,0,0,0,0
16389,Valeur technique (qualité de la dpgf,0,1,0,0,0
11163,Prix des prestations sur lensemble de la durée du marché,1,0,0,0,0
2217,Prix des prestations,1,0,0,0,0
1174,Valeur technique,0,1,0,0,0
13608,Valeur technique,0,1,0,0,0
6551,Valeur technique de loffre,0,1,0,0,0
9403,Prix des prestations,1,0,0,0,0
13948,Prix des prestations,1,0,0,0,0
23706,prix des prestations,1,0,0,0,0
21409,Coût des travaux,1,0,0,0,0
7486,Valeur technique,0,1,0,0,0
16336,Valeur technique (au regard du mémoire technique,0,1,0,0,0
31712,Prix des prestations,1,0,0,0,0
31491,La valeur technique,0,1,0,0,0
13973,Le prix,1,0,0,0,0
3661,valeur technique,0,1,0,0,0
30118,Le dispositif mis en place pour faire face à 1urgence,0,0,0,0,1
31398,Adéquation des moyens humains et des profils affectés par étape,0,0,0,0,1
11891,Valeur technique,0,1,0,0,0
17920,Valeur technique,0,1,0,0,0
24487,prix de la prestation,1,0,0,0,0
6180,Valeur technique,0,1,0,0,0
23717,Valeur technique,0,1,0,0,0
4762,Valeur technique : pondération 50 points (des sous-critères sont décrits à larticle 6.2 du RC,0,1,0,0,0
1438,Coût des travaux,1,0,0,0,0
31387,Valeur technique,0,1,0,0,0
29421,Valeur technique de loffre et compétence,0,1,0,0,0
10632,Coût dacquisition,1,0,0,0,0
15403,Prix des prestations,1,0,0,0,0
19357,Valeur Technique : 30 points,0,1,0,0,0
7179,Valeur technique,0,1,0,0,0
24401,PRIX,1,0,0,0,0
8975,Prix : 70 points,1,0,0,0,0
18942,Valeur technique (évaluée sur le mémoire technique fourni par les candidats,0,1,0,0,0
21098,Méthodologie et Organisation pour réaliser les prestations objet du marché.,0,0,0,0,1
7715,Valeur technique de loffre,0,1,0,0,0
1873,Qualité de loffre,0,0,1,0,0
8450,Lot 01 : Prix des prestations,1,0,0,0,0
30462,Lot 01 : Prix des prestations,1,0,0,0,0
2874,Critère prix,1,0,0,0,0
13173,Critère 1 : valeur technique,0,1,0,0,0
9230,Valeur technique de loffre,0,1,0,0,0
25554,Caractère esthétique (Originalité du produit : design et innovation / du projet et Adaptabilité du produit à lexistant,0,0,0,0,1
30514,Valeur technique (qualité de la DPGF,0,1,0,0,0
17051,PRIX,1,0,0,0,0
7036,Valeur technique (compétence de léquipe /10,0,1,0,0,0
18427,Traçabilité et sécurité alimentaire,0,0,0,0,1
9391,Prix des prestations,1,0,0,0,0
15888,Qualité technique,0,1,0,0,0
5414,Valeur technique,0,1,0,0,0
4630,Valeur technique de loffre,0,1,0,0,0
29400,Valeur technique (Qualité de la DPGF,0,1,0,0,0
12981,La valeur technique de loffre appréciée au vu de la qualité technique des échantillons appréciée au vu des fiches techniques et des essais,0,1,0,0,0
14620,Valeur technique,0,1,0,0,0
12648,Prix des prestations,1,0,0,0,0
12928,Lot 1 - délai de livraison,0,0,0,1,0
13807,Valeur technique,0,1,0,0,0
357,Prix : 70 points,1,0,0,0,0
7032,Lot 1 : Valeur technique,0,1,0,0,0
6650,Valeur technique,0,1,0,0,0
11874,Valeur technique au vu du mémoire technique,0,1,0,0,0
24174,- Capacités professionnelles(Références similaires : 15 % -Moyens techniques : 5 % -Moyens humains : 5 %Garanties financières : 5 %,0,0,0,0,1
11846,Lot 1 : Prix,1,0,0,0,0
19557,Prix des prestations,1,0,0,0,0
5164,Prix analysé sur la base du DQE,1,0,0,0,0
31557,Valeur technique de loffre au des éléments contenus dans le cadre de réponse,0,1,0,0,0
27638,Valeur technique par rapport aux exigences du CCTP,0,1,0,0,0
9977,Valeur technique,0,1,0,0,0
9563,Qualité (qualité gustative 30% + qualité de fabrication 30%,0,0,1,0,0
28130,Valeur technique,0,1,0,0,0
26785,montant des honoraires,1,0,0,0,0
18256,Prix des prestations,1,0,0,0,0
22404,Prix de la prestation,1,0,0,0,0
4793,qualité de la prestation,1,0,0,0,0
5721,Valeur technique (performance technique des profils utilisés/30,0,1,0,0,0
25939,Valeur technique,0,1,0,0,0
904,Valeur Technique,0,1,0,0,0
2056,Prix : 60 points,1,0,0,0,0
5781,Prix des prestations,1,0,0,0,0
31447,Valeur technique de loffre appréciée à laide du mémoire technique,0,1,0,0,0
29372,Valeur technique,0,1,0,0,0
14515,Prix des dispositifs médicaux,1,0,0,0,0
16028,Valeur technique de la prestation appréciée au vu du contenu des éléments du mémoire technique,0,1,0,0,0
6938,Valeur technique de loffre,0,1,0,0,0
30658,2-Dispositif mis en place pour réaliser la prestation (moyens humains et matériels,0,0,0,0,1
16974,PRIX,1,0,0,0,0
19347,Prix des prestations,1,0,0,0,0
16245,Réglage des supports,0,0,0,0,1
25784,Valeur technique,0,1,0,0,0
24196,Valeur technique,0,1,0,0,0
31379,Valeur technique (appréciée au regard de la documentation technique annexée à lacte dengagement (art.9.1B du RC et des conclusions des essais-mise à disposition (art. 10 du RC,0,1,0,0,0
1490,Valeur technique,0,1,0,0,0
1135,Valeur technique,0,1,0,0,0
1363,Prix des prestations,1,0,0,0,0
28883,Temps affecté à la mission : sur 40 points (méthode de notation = nombre dheures de loffre jugée / nombre dheures maximum proposé x 40,0,0,0,1,0
3047,Critère 2 : Valeur de léquipe proposée. La valeur de léquipe sera appréciée suivant les compétences et lexpérience de léquipe proposée,0,0,0,0,1
11527,Le prix,1,0,0,0,0
7018,Valeur technique,0,1,0,0,0
12168,Valeur technique attribuée en fonction notamment -du mémoire technique détaillé présentant le matériel proposé et décrivant les différents composants et tout autre renseignement permettant de juger la valeur technique de la fourniture,0,1,0,0,0
281,Lots 1 et 2 : Valeur technique,0,1,0,0,0
4407,Valeur technique,0,1,0,0,0
6953,Prix des prestations,1,0,0,0,0
10658,la valeur technique dont les sous-critères sont indiqués au règlement de consultation,0,1,0,0,0
3964,valeur technique,0,1,0,0,0
9819,Adéquation et pertinence de la méthode et de l organisation proposées,0,0,0,0,1
17676,Valeur technique de loffre,0,1,0,0,0
9424,Gestion du CESU : le prestataire établira un mémoire faisant apparaître les moyens mis en place pour assurer la gestion et la méthode utilisée. Ce mémoire définira les éléments du tableau de bord,0,0,0,0,1
15453,Valeur technique,0,1,0,0,0
16089,Engagement et moyens mis en oeuvre pour le respect des délais dintervention maximum et/ou optimisation,0,0,0,0,1
15025,Prix des prestations,1,0,0,0,0
28621,La pertinence daffectation appréciée au vu du CV du chef de projet et des membres de léquipe intervenant dans le cadre de ce marché,0,0,0,0,1
2822,Valeur technique,0,1,0,0,0
26404,Valeur technique,0,1,0,0,0
15563,Valeur technique,0,1,0,0,0
7385,Valeur technique,0,1,0,0,0
23043,Valeur technique,0,1,0,0,0
7664,Valeur technique,0,1,0,0,0
649,Valeur technique de loffre (appréciée au regard de la note détaillée et du - ou des - catalogue(s remis par le soumissionnaire dans le cadre de sa proposition,0,1,0,0,0
27978,Prix au vu du DQE,1,0,0,0,0
17855,Valeur technique,0,1,0,0,0
19236,Qualité des matériaux proposés,0,0,1,0,0
703,Valeur technique,0,1,0,0,0
24358,Prix des prestations,1,0,0,0,0
17176,prix des prestations,1,0,0,0,0
4165,valeur technique,0,1,0,0,0
25254,Valeur technique de loffre,0,1,0,0,0
12467,Prix des prestations,1,0,0,0,0
30797,prix de la prestation,1,0,0,0,0
13341,Prix de loffre 40%,1,0,0,0,0
909,Prix : pondération 60 points,1,0,0,0,0
29356,Valaur technique,0,1,0,0,0
19085,prix des prestations,1,0,0,0,0
18936,Prix des prestations (évalué sur la DPGF,1,0,0,0,0
6272,PRIX,1,0,0,0,0
3902,Crédibilité de lorganisation,0,0,0,0,1
13948,Prix des prestations,1,0,0,0,0
19900,prix,1,0,0,0,0
2100,Prix des prestations (sur la base du montant total du DQE,1,0,0,0,0
22695,Valeur technique,0,1,0,0,0
9361,Valeur technique de loffre,0,1,0,0,0
14287,prix,1,0,0,0,0
2417,La sécurité alimentaire : le candidat remettra un mémoire technique détaillé dans le réglement de consultation.,0,0,0,0,1
27412,prix,1,0,0,0,0
13501,valeur technique,0,1,0,0,0
17290,Prix des prestations,1,0,0,0,0
17755,Valeur technique de loffre,0,1,0,0,0
10627,Valeur technique de loffre : Méthodologie et organisation de léquipe,0,1,0,0,0
30874,Délai de livraison,0,0,0,1,0
6544,Prix des prestations,1,0,0,0,0
16479,Prix des prestations,1,0,0,0,0
5324,Valeur technique,0,1,0,0,0
638,Valeur technique des prestations et références,0,1,0,0,0
28629,Lot 05 : Prix des prestations,1,0,0,0,0
20939,Valeur technique,0,1,0,0,0
17555,Valeur technique,0,1,0,0,0
15153,valeur technique 12 pts,0,1,0,0,0
23376,Performances analytiques et techniques jugée à partir du mémoire technique et du questionnaire technique,0,0,0,0,1
20335,Valeur technique au regard du mémoire méthodologique,0,1,0,0,0
2400,Prix des prestations,1,0,0,0,0
4506,Valeur technique,0,1,0,0,0
10034,prix,1,0,0,0,0
7690,Mémoire technique,0,1,0,0,0
7092,Prix acquisition - livraison,1,0,0,0,0
21944,La valeur environnementale,0,0,0,0,1
30954,technique,0,1,0,0,0
13094,qualité de loffre,0,0,1,0,0
18948,Valeur technique,0,1,0,0,0
13764,Valeur technique,0,1,0,0,0
29609,Prix des prestations,1,0,0,0,0
16074,Organisation et planning des prestations,0,0,0,0,1
24034,La valeur technique,0,1,0,0,0
10660,Prix des prestations (60 pts,1,0,0,0,0
3909,prix des prestations 50pts,1,0,0,0,0
20769,Lot 1 : Valeur technique,0,1,0,0,0
5476,Prix des prestations,1,0,0,0,0
9274,Note méthodologique,0,0,0,0,1
4749,Valeur prix : 60 points,1,0,0,0,0
16751,prix des prestations,1,0,0,0,0
9629,Technique,0,1,0,0,0
1414,Valeur technique appréciée au regard du mémoire technique et de la Décomposition du Prix Global et Forfaitaire (D.P.G.F,0,0,0,0,1
1691,les qualités techniques et esthétiques des vêtements (les échantillons serviront de base dévaluation,0,0,1,0,0
26647,Prix des prestations,1,0,0,0,0
6762,Valeur technique (sous-critère moyens humains et matériels 30%,0,1,0,0,0
29248,Valeur technique (moyens matériel,0,1,0,0,0
23579,Valeur technique de loffre,0,1,0,0,0
16225,Qualité des distributeurs et éventuels mobiliers proposés,0,0,1,0,0
8268,valeur technique de loffre,0,1,0,0,0
11213,Qualité des références (Projets sportifs et paysagers,0,0,1,0,0
27179,Prix des prestations apprécié au vu de la DPGF,1,0,0,0,0
31000,Valeur technique,0,1,0,0,0
13924,Qualité technique de loffre appréciée au vu du mémoire (expériences,0,0,1,0,0
5854,valeur technique attribuée en fonction notamment du mémoire technique fourni à lappui de loffre \xad: \xadcaractéristiques plus globales du compacteur : volume,0,1,0,0,0
23684,Qualité de la solution technique,0,0,1,0,0
670,Valeur technique,0,1,0,0,0
16111,Valeur technique,0,1,0,0,0
29317,Note méthodologique,0,0,0,0,1
22140,Valeur technique,0,1,0,0,0
1612,Prix : comparé à loffre du moins-disant en prix suivant la méthode de dépouillement des offres qui sera jointe en annexe au règlement de la consultation,1,0,0,0,0
30519,Prix des prestations,1,0,0,0,0
13673,Qualité de loffre,0,0,1,0,0
3327,Valeur technique,0,1,0,0,0
22942,Lot 01 : Valeur technique : Moyens techniques de réalisation du chantier pour garantir la qualité des ouvrages,0,1,0,0,0
25359,Valeur technique,0,1,0,0,0
9276,Valeur technique de loffre : analyse basée notamment sur les fiches techniques et données de sécurités,0,1,0,0,0
27398,La valeur environnementale,0,0,0,0,1
7272,Prix des prestations,1,0,0,0,0
10365,Prix : comparé à loffre du moins-disant en prix suivant la méthode de dépouillement des offres qui sera jointe en annexe au règlement de la consultation,1,0,0,0,0
3822,Adéquation des références présentées,0,0,0,0,1
27720,Valeur technique,0,1,0,0,0
24177,Prix des prestations,1,0,0,0,0
11754,Prix des prestations,1,0,0,0,0
16630,valeur technique de loffre 30% définis au RC.,0,1,0,0,0
14462,Prix des prestations,1,0,0,0,0
13215,Le prix des prestations,1,0,0,0,0
21988,Valeur technique : Organisation et la composition des équipes pour mener à bien les prestations décrites dans le cadre du marché (CV,0,1,0,0,0
14990,Prix de loffre,1,0,0,0,0
23841,Lot 1 : Mode opératoire et engagements de service divers,0,0,0,0,1
29654,Valeur technique,0,1,0,0,0
21421,Valeur technique : mémoire technique,0,1,0,0,0
6193,Valeur technique,0,1,0,0,0
12244,VALEUR TECHNIQUE,0,1,0,0,0
16962,Valeur technique,0,1,0,0,0
25753,Valeur prix,1,0,0,0,0
17888,Valeur technique de loffre apparaissant après une analyse comparative technique et financière relative aux montants des garanties et des franchises applicables,0,1,0,0,0
27536,Service après-ventre et assistance technique (dossier technique (note sur 20,0,0,0,0,1
20333,Valeur technique (qualité de la DPGF,0,1,0,0,0
25252,Valeur technique de loffre,0,1,0,0,0
14986,valeur technique,0,1,0,0,0
3048,Valeur technique,0,1,0,0,0
7974,prix,1,0,0,0,0
3064,Lot 1 : Conformité des fiches techniques au descriptif du CCTIP et Qualité du suivi de commande,0,0,0,0,1
8606,Prix des prestations,1,0,0,0,0
19537,Valeur technique,0,1,0,0,0
25555,Qualité,0,0,1,0,0
7868,Prix des prestations,1,0,0,0,0
14373,valeur technique,0,1,0,0,0
31609,Valeur technique,0,1,0,0,0
16477,Prix des prestations,1,0,0,0,0
16153,Prix : 20 points,1,0,0,0,0
24667,Prix des prestations,1,0,0,0,0
25894,lot 1 - prix des prestations,1,0,0,0,0
4627,Lot 02 : Prix des Prestations - 60 points,1,0,0,0,0
31419,Valeur technique,0,1,0,0,0
5287,Prix de la tranche ferme,1,0,0,0,0
26125,Coût dacquisition / exploitation,1,0,0,0,0
7397,Coût de la prestation,1,0,0,0,0
7291,Valeur technique,0,1,0,0,0
6327,Valeur technique,0,1,0,0,0
4761,Valeur technique de loffre,0,1,0,0,0
9381,valeur technique,0,1,0,0,0
8733,Prix : 40 points,1,0,0,0,0
14739,Valeur technique de loffre,0,1,0,0,0
20418,La valeur technique ( 10% mode opératoire et dexécution des différentes phases de chantier et dexploitation sous circulation et 10% le mode opératoire et dexécution de la mise en oeuvre des matériaux,0,1,0,0,0
4623,Valeur technique : pondération 60 points (cf article 6 RC pour la sous-pondération,0,1,0,0,0
21789,Prix des prestations,1,0,0,0,0
29876,Technique,0,1,0,0,0
16581,prix des prestations,1,0,0,0,0
22896,Valeur technique des prestations,0,1,0,0,0
1938,Montant des primes,1,0,0,0,0
19757,Valeur technique,0,1,0,0,0
19753,Prix des prestations,1,0,0,0,0
20115,prix,1,0,0,0,0
6946,Prix des prestations,1,0,0,0,0
2962,Valeur technique de loffre,0,1,0,0,0
26864,Valeur technique,0,1,0,0,0
5501,Valeur technique des prestations,0,1,0,0,0
27345,Valeur technique de loffre,0,1,0,0,0
17112,Valeur technique appréciée à partir du mémoire technique,0,1,0,0,0
14866,Valeur technique (60 points,0,1,0,0,0
6498,Prix des prestations,1,0,0,0,0
6494,Valeur technique,0,1,0,0,0
17578,Moyens de gestion du contrat et des sinistres sur 10 pts. Pour les lots 1 à 4 et 6 à 9,0,0,0,0,1
23053,Valeur technique,0,1,0,0,0
6559,Prix : sur la base du DQE,1,0,0,0,0
26415,Prix de la prestation,1,0,0,0,0
6611,Valeur technique de loffre,1,0,0,0,0
5492,Technique,0,1,0,0,0
8617,Valeur technique,0,1,0,0,0
30109,prix des prestations,1,0,0,0,0
28283,Valeur technique,0,1,0,0,0
19665,Prix des prestations,1,0,0,0,0
8526,Valeur technique,0,1,0,0,0
20823,Moyens humains et matériels affectés au transport et organisation pour assurer la prestation (notamment lors des pics dactivités,0,0,0,0,1
31466,Valeur technique,0,1,0,0,0
23561,Prix des prestations,1,0,0,0,0
3472,Prix des prestations,1,0,0,0,0
29187,Délai de livraison,0,0,0,1,0
22,valeur technique des offres,0,1,0,0,0
31848,valeur technique,0,1,0,0,0
523,Lot 14 : Valeur technique,0,1,0,0,0
22927,Qualité technique,0,0,1,0,0
2300,Montants et qualité des garanties,1,0,1,0,0
8360,Valeur technique,0,1,0,0,0
15775,Valeur technique,0,1,0,0,0
1407,Prix des prestations,1,0,0,0,0
16857,Prix : pondération 40 points,1,0,0,0,0
5716,Valeur technique,0,1,0,0,0
12090,Valeur technique de loffre,0,1,0,0,0
22019,Valeur technique,0,1,0,0,0
10587,Qualité du ou des intervenants,0,0,1,0,0
22611,la valeur technique des prestations,0,1,0,0,0
12426,qualité du dossier technique,0,0,1,0,0
17607,Valeur technique,0,1,0,0,0
14354,Prix des prestations,1,0,0,0,0
24784,Prix sur la base du total du BPU,1,0,0,0,0
11335,Lot 01 : Valeur technique,0,1,0,0,0
4769,Valeur technique,0,1,0,0,0
28237,Délais de livraison,0,0,0,1,0
11067,Prix des prestations,1,0,0,0,0
19216,Proximité,0,0,0,0,1
7803,Valeur Technique,0,1,0,0,0
19450,Valeur technique,0,1,0,0,0
11283,valeur technique,0,1,0,0,0
15348,Prix des prestations,1,0,0,0,0
2533,Valeur technique de loffre,0,1,0,0,0
29425,Qualité fonctionnelle et technique,0,0,1,0,0
31333,Valeur technique (sous-critères : qualité de la dpgf,0,1,0,0,0
1226,valeur technique,0,1,0,0,0
18894,Lots 1 et 2 : valeur technique du produit (étendue des amm,0,1,0,0,0
5175,Valeur technique,0,1,0,0,0
23277,Performance technique et scientifique du produit (Matériaux,0,1,0,0,0
7965,Le prix,1,0,0,0,0
28408,prix,1,0,0,0,0
17191,prix des prestations,1,0,0,0,0
10534,Prix des prestations,1,0,0,0,0
0,Valeur Economique,1,0,0,0,0
0,Valeur financière de loffre,1,0,0,0,0
0,qualité,0,0,1,0,0
0,Qualité,0,0,1,0,0
0,Qualité de la prestation,0,0,1,0,0
0,qualité de l'offre,0,0,1,0,0
0,Qualification,0,0,1,0,0
0,qualité offre,0,0,1,0,0
0,qualité de presta,0,0,1,0,0
0,Qualité,0,0,1,0,0
0,Qualité de l'offre,0,0,1,0,0
0,beauté,0,0,1,0,0
0,Qualité de loffre (cf. sous critères détaillés dans rubrique autres informations,0,0,1,0,0
0,qualité,0,0,1,0,0
0,qualité,0,0,1,0,0
0,temps,0,0,0,1,0
0,Time,0,0,0,1,0
0,durée,0,0,0,1,0
0,temps de l'offre,0,0,0,1,0
0,Durée réponse,0,0,0,1,0
0,temps,0,0,0,1,0
0,délai,0,0,0,1,0
0,Temps de réponse,0,0,0,1,0
0,Temps,0,0,0,1,0
0,Critère delai,0,0,0,1,0
