,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
343,Prix des prestations,Qualité des prestations offertes (jugé par rapport à la note méthodologique complète comprenant photos du matériel technique mis à disposition
346,Valeur technique,Prix
359,Prix : pondération 60 points,Valeur technique : pondération 40 points (cf article 6 RC pour la sous-pondération
361,Prix des prestations,Valeur technique
366,Prix des prestations,Organisation et planning des prestations
377,Prix des prestations,Valeur technique
380,Prix des prestations,Valeur technique
381,Critère technique 1 Organisation de la prestation de télésurveillance(Moyens humains (nombre et organisation interne /10 Gestion au quotidien des consignes/10Moyens techniques /20,Critère technique 2 Organisation de la prestation dintervention sur site(Délais dintervention /5Moyens humains /5Mode de communication /5Organisation/5
384,Valeur technique,prix
386,Compétences,Descriptif de la mission et calendrier
387,Prix des prestations,Valeur technique
389,Valeur technique,Prix
390,Valeur technique,Prix
391,Prix,Valeur technique
407,Prix des prestations (note sur 20,Valeur technique de loffre (mémoire justificatif (note sur 20
408,Prix des prestations (note sur 20,Valeur technique de loffre (note sur 20
411,Prix : 60 points,Valeur technique : 40 points (des sous-critères sont décrits à larticle 6.2 du RC
412,Coût,Valeur technique et environnementale
413,Valeur technique,Prix des prestations
417,Moyens dintervention,Engagement et moyens mis en oeuvre pour le respect des délais dintervention maximum et/ou optimisation
418,Programme détaillé de chacune des sessions,Organisation et méthodes pédagogiques
425,Valeur technique : pondération 50 points (cf art. 6 du RC pour la sous-pondération,Prix : pondération 50 points
427,Valeur technique appréciée sur la base de la note méthodologique,Prix
433,Prix des prestations,Valeur technique
434,Valeur technique : 40 points pour le lot 1 ; 55 points pour le lot 2 (des sous-critères sont décrits à larticle 6.2 du RC,Prix : 50 points pour le lot 1 ; 35 points pour le lot 2
448,Valeur technique de loffre,Prix
450,Prix,Valeur technique
465,Prix : 50 points,Valeur technique : 50 points
480,Prix de la prime totale,Les montants garantis
484,Prix,La valeur environnementale
486,Valeur technique de loffre,Prix
489,Valeur technique jugée sur la base du mémoire technique du candidat,prix
493,Prix,Organisation des tournées
494,Prix des prestations (note sur 20,Valeur technique de loffre (mémoire technique(note sur 20
495,Valeur technique,Prix des prestations
501,Prix des prestations : 50 points,Valeur technique : 50 points
502,Valeur technique,Supports et garanties
503,Valeur technique,Prix
504,Prix des prestations,Valeur technique jugée sur létat du matériel nécessaire pour effectuer cet entretien et du personnel pouvant être mis à disposition avec sa qualification
512,Prix des prestations (note sur 20,Valeur technique de loffre (mémoire technique(note sur 20
515,prix,valeur technique
518,Prix,Valeur technique
519,Valeur technique de loffre,Prix
526,Valeur technique,Prix
527,Prix des prestations,Qualité de lhebergement et de la restauration proposé au regard du memoire technique
541,Valeur technique de loffre,Prix des prestations
543,Valeur technique de loffre,Prix
545,Prix des prestations,Valeur technique: elle sapprécie pour le lot 1 au regard des fiches techniques (15
549,Valeur technique de loffre,Prix
550,valeur technique,prix
553,Qualité technique : - appréciations des méthodes pédagogiques,Les qualifications et lexpérience du personnel assigné à lexécution du marché public : profil des formateurs/intervenants (qualification
554,Prix,Délai de livraison
556,Valeur technique,prix
560,prix des prestations (évalué sur le détail quantitatif estimatif de chacun des lots,aleur technique (évaluée sur le mémoire technique fourni par les candidats : les moyens matériels et humains affectés de chacun des lots; lorganisation pour réaliser les prestations de chacun des lots; le suivi et contrôle des opérations de chacun des lots ; la durée de garantie des travaux
573,Valeur Technique,Valeur Economique
576,Prix,Valeur technique
580,Prix des prestations,Valeur technique
584,Critère prix,Critère delai
586,Prix,Technique
591,Valeur technique de loffre,Prix des prestations
592,Prix des prestations appréciés au vu de loffre financière,Valeur technique appréciée au vu du cadre de mémoire justificatif
593,Valeur technique de loffre,Prix
600,Valeur technique,Prix des prestations
603,Valeur technique,Prix
610,Prix de la location de lespace séminaire,Prix du déjeuner et du café daccueil (jugé sur la base des prix unitaires
612,Prix des prestations,Valeur technique
616,Valeur technique et environnementale,Prix des prestations
619,Valeur technique et environnementale,Prix des prestations
620,Prix des prestations (note sur 20,Valeur technique de loffre (mémoire justificatif (note sur 20
623,Valeur technique,Prix
624,Valeur technique,Prix de la prestation
628,Valeur technique et environnementale,Prix des prestations
638,Prix des prestations,Valeur technique
641,Lot 2 : Prix des prestations jugé par rapport à la DPGF,Lot 2 : Valeur technique jugée par rapport au mémoire technique
642,Prix,Valeur technique de loffre
653,COUT GLOBAL DES PRESTATIONS,VALEUR TECHNIQUE
656,Valeur technique de loffre appréciée à laide du mémoire technique,Prix
657,Processus de fabrication,Planning détaillé dintervention
668,Prix de loffre (60 %,Valeur technique des prestations (40%
673,Valeur technique : 50 points,Prix : 35 points
674,Prix des prestations,Valeur technique
678,Valeur technique,Prix
681,Valeur technique,Prix des prestations
682,Valeur technique : 30 points (cf article 6 RC pour la sous-pondération,Prix : 20 points
684,Technique et planification (qualité technique /15,Prix
691,Prix des prestations apprécié à partir du détail quantitatif estimatif,Valeur technique et environnementale appréciée à partir des éléments du mémoire technique et environnemental
692,Prix des prestations analysé à partir du DQE,Valeur technique analysée à partir des 2 thèmes PAQ et PAPE
693,Coût estimatif des travaux,Valeur technique eu égard au mémoire technique justificatif Cf. règlement de consultation pour détails
699,Prix,Valeur technique
700,Prix,Valeur technique
701,Valeur technique,Prix
705,Prix,Valeur technique de loffre
706,Prix,Valeur technique de loffre
707,Prix,Valeur technique et environnementale
708,Prix,Valeur technique
713,Prix,Valeur technique
714,Prix,Délai
730,Qualité de loffre,Prix
731,Prix,Valeur technique et environnementale de loffre
734,Prix des prestations,Pertinence de létude de cas
740,Prix,Valeur technique
751,Prix des prestations,Valeur technique apprécie au regard des modalités dorganisation du chantier et de la démarche environnementale
753,Valeur technique,Prix des prestations
757,Valeur technique,Prix des prestations
758,Prix - Lot 1,Valeur technique et environnementale - Lot 1
759,Prix,Valeur technique de loffre
760,Prix,Valeur technique et environnementale
764,Valeur technique de loffre,Moyens humains affectés à la mission
765,Prix,Valeur technique appréciée en fonction de la documentation technique fournie
766,Prix,Valeur technique
768,Prix des offres vu au travers des tarifications proposées,Respect du cahier des charges
777,Prix,Valeur technique
778,Prix,Valeur technique de loffre
779,Valeur technique de loffre,Prix
780,Prix,Valeur technique et environnementale
788,Prix,Valeur technique
789,VALEUR TECHNIQUE DE LOFFRE,PRIX DES PRESTATIONS
792,Prix,Qualité de loffre
794,Prix,Valeur technique
795,Prix des prestations,Valeur technique
802,Prix,Valeur technique
804,Prix des prestations,Valeur technique
805,Prix,Assitance technique
813,Valeur technique,Prix des prestations
815,Valeur technique,Prix des prestations
818,Valeur technique,Prix
820,Prix,Valeur esthétique et artistique
824,qualité,prix
826,Prix,Valeur technique et environnementale
828,Valeur technique de loffre,Prix
830,Qualité de loffre et pertinence de loffre,Prix des prestations
831,Coût estimatif des travaux,Valeur technique eu égard au mémoire technique justificatif Cf. règlement de consultation pour détails
832,Valeur technique des prestations (appréciée à partir du mémoire technique justificatif voir RC pour détails,Prix global et forfaitaire
833,qualité technique de loffre: guide de fonctionnement,qualité technique de loffre: moyens techniques et humains
837,Prix des prestations,Valeur Technique de lOffre
838,Prix,Caractéristiques opérationnelles
851,valeur technique,Prix
853,Prix,Valeur technique
854,Prix,Valeur technique de loffre
855,Valeur technique de loffre,Coût des prestations
860,Prix,Valeur technique
864,Valeur technique,Prix des prestations
866,Prix,Valeur technique au vu du mémoire
877,Prix,Valeur technique et environnementale
880,Prix des prestations,Valeur technique analysée à partir du mémoire technique
882,prix,valeur technique
887,Valeur Technique et environnementale,Prix
892,valeur technique de loffre,Prix
893,Valeur technique,Prix
896,Valeur technique,Coût total de possession
898,Prix des prestations,Valeur technique
911,Valeur technique de loffre,Prix
912,Prix,Qualité de loffre
919,Prix,Valeur technique de loffre
927,Prix des prestations jugé au regard du DQE,Valeur technique jugée au regard du mémoire technique
933,Proposition de redevance,Qualité des distributeurs et éventuels mobiliers proposés
950,Prix,Valeur technique de loffre
951,Prix de la prestation,Valeur technique de loffre
979,Valeur technique,Prix des prestations
980,Valeur technique,Délais de dépannage et/ou assistance
982,Prix des prestations,Valeur technique
989,Lots 1 et 2 : Valeur technique,Lots 1 et 2 : Prix des prestations
998,Valeur technique - 70 points,Prix - 30 points
1000,Prix,Valeur technique
1009,Prix,Valeur technique de loffre appréciée à laide du mémoire technique
1018,Prix,Valeur environnementale de loffre
1024,Valeur technique lot 1,Prix des prestations lot 1
1041,Prix des prestations,Valeur technique
1046,Valeur technique,Prix des prestations
1049,Valeur technique de loffre appréciée au regard du mémoire technique (Moyens humains 25 % - Organisation des prestations 20 % - Matériels et produits 10 % - Démarche environnementale 5 %,Prix
1059,Valeur technique,Prix des prestations
1064,Valeur technique,Prix
1068,Prix : 60 points,Valeur technique : 40 points (des sous-critères sont détaillés à larticle 6-2 du RC
1070,Valeur technique,Valeur financière
1075,Valeur technique,Prix des prestations
1085,Prix,Réglage des supports
1108,Prix - montant des quantités estimatives du bordereau des prix (40% - Prix catalogue avec application du pourcentage de remise (10%,Valeur technique appréciée notamment au regard du mémoire technique et des échantillons
1111,Valeur technique,Prix des prestations
1112,Prix des prestations,Valeur technique par rapport aux caractéristiques techniques du matériel proposé
1123,Valeur technique de loffre appréciée à laide du mémoire technique,Prix
1154,Valeur technique,Prix des prestations
1166,Prix,Valeur technique appréciée notamment au vu du mémoire technique
1175,Prix,Valeur technique
1178,Valeur technique,Prix des prestations
1185,Prix,Valeur Environnementale de loffre
1188,Prix,Qualité et cohérence de loffre
1191,Qualité de la réponse technique : la capacité du prestataire à produire un travail fini de qualité sera jugé au vu : - des descriptifs techniques du parc machines en pré-presse et en impression,Moyens humains
1209,Valeur technique : pondération : 60 points (cf article 6-2 RC pour la sous-pondération,Prix : pondération 40 points
1211,Prix,Qualité et cohérence de loffre
1219,Valeur technique : (Méthodologie dexécution 30%,Prix
1221,Prix,Qualité et cohérence de loffre
1225,Valeur technique de loffre,Prix
1238,Valeur technique suivant détail au RC,Prix
1240,Qualité,Prix
1248,Qualité des Garanties,Prix
1294,Valeur technique au regard du cadre de réponse,Prix au regard du DQE
1299,Prix sur la base du chantier Floirac,Valeur technique suivant détail au RC
1318,Pour les lots 1,Pour les lots 1
1322,Prix des prestations,Valeur technique
1323,Prix : 70 points,Valeur technique (Qualité du DPGF
1324,Prix des prestations (évalué sur le détail quantitatif estimatif,Valeur technique (évaluée sur le mémoire technique
1325,Prix,Valeur technique
1328,Prix des prestations,Valeur technique
1333,Prix,Valeur technique
1341,valeur technique,prix des prestations
1343,Prix,Performance en matière de protection de lenvironnement :
1344,Prix des prestations,Valeur technique
1345,Qualité de loffre,Coût
1347,Prix : 70 points,Valeur technique (qualité de la DPGF
1349,Valeur technique de loffre appréciée à laide du mémoire technique,Références/compétences
1353,Prix : 70 points,Valeur technique (Qualité du DPGF
1354,Valeur prix,Valeur technique
1356,Description de la méthodologie dorganisation par le candidat et gestion des problèmes afin dassurer la continuité de service pour la collectivité : itinéraire,Diversité du parc de véhicule 
1358,Qualité technique,Prix de sprestations
1369,Valeur technique au regard de la qualité et de la pertinence du mémoire technique,Prix des prestations
1370,La valeur technique de loffre,Le prix
1371,Prix : 70 points,Valeur technique (qualité de la DPGF
1372,Le prix,Valeur environnement
1373,Prix : 70 points,Valeur technique (Qualité du DPGF
1381,Prix des prestations (%,Valeur technique (%
1382,capacités techniques,prix des prestations
1383,conditions dexecution et de livraison,prix des prestations
1385,1-Valeur technique,2-Prix des prestations
1386,Valeur technique,Prix
1387,Prix,Technique
1390,Valeur technique :- simulation dun planning et des moyens humains et techniques mis en oeuvrent dans le cadre des 4 types de chantier définis dans le CCTP et le BPU- Interlocuteur pour la commune et équipe référente- Qualité et environnement,PRIX
1391,Valeur technique : compétence équipe dédiée aux missions s/10pts - Méthodologie recueil des données et restitution s/20pts - Nature des livrables s/20pts - Planning s/5pts - Critère de développement durable s/5pts - cf. RC détaillé,Prix - cf. RC
1394,Prix,Valeur technique
1399,Valeur technique de loffre,Prix global de loffre
1407,Prix : 70 points,Valeur technique (qualité de la DPGF
1412,Valeur Technique,Prix des prestations
1416,Prix : 70 points,Valeur technique (Qualité du DPGF
1425,Prix des prestations,Valeur technique
1428,Qualité du service pendant lexécution du marché jugée par rapport à lannexe 2,Solution de dématérialisation proposée par le candidat jugée selon lannexe 1
1429,Prix : 70 points,Valeur technique (Qualité du DPGF
1430,Prix : 70 points,Valeur technique (qualité de la dpgf
1433,Prix,Qualité technique de loffre
1434,Prix : 70 points,Valeur technique (qualité de la dpgf
1437,Prix des prestations,Valeur technique : Effectif pressenti et CV de léquipe pressentie comportant les compétences
1438,Valeur technique,Prix des prestations
1439,Le prix,la qualité esthétique et visuelle du stand
1441,Prix,Valeur technique appréciée notamment au vu du mémoire technique
1445,Le prix,La valeur environnementale ( SOPRE ET SOGED
1449,Qualité du dossier doffre,Coût
1450,Prix des prestations,Valeur technique : Moyens et méthodes proposés au travers du mémoire justificatif et explicatif - -Moyens et méthodes (10 - -Fiches produits (10 - -Moyens de contrôle (10 - -Cadre PAQ (5 - -SOSED( 5 
1451,Conditions dexécution et de livraison,Prix des prestations
1452,Valeur technique,Prix des prestations
1458,Valeur technique appréciée sur la base : des échantillons fournis concernant la qualité générale,Prix
1459,Prix des prestations,Valeur technique
1461,Prix des prestations,Valeur technique
1464,Prix des prestations,Valeur Technique (compréhension et qualité de la note méthodologique pour chaque phase de la mission
1466,Prix des prestations,Caractère esthétique et fonctionnel : Qualité du design
1469,Prix : 70 points,Valeur technique (qualité de la DPGF
1470,Prix : 70 points,Valeur technique (Qualité du DPGF
1479,conditions déxécution et de livraison,prix des prestations
1482,Valeur technique,Prix
1485,- valeur technique (nombre de commerçants : 30 % ; modalités et délais de livraison : 15 % ; délai de validité : 20 %,- prix (prix de la prestation : 20 % ; prix des prestations annexes : 15 %
1486,Prix des prestations,Valeur technique de loffre au vu dun mémoire dans lequel le candidat précisera les moyens humains
1490,Valeur technique,Prix
1503,Prix,Valeur technique et environnementale
1505,Prix des prestations : 70 points,Valeur technique (qualité de la DPGF
1525,Prix,Délai
1527,Valeur technique : qualité et validité des produits (20 points,Prix en fonction du bordereau des prix unitaires joint
1533,Valeur technique (méthodologie,Prix (montant de la prestation
1535,Prix des prestations,Valeur technique
1536,Prix,Qualité technique de réalisation
1545,Prix,Valeur technique (au regard du mémoire technique
1546,Prix des prestations,Valeur technique
1549,Prix,Valeur technique
1556,Prix : 70 points,Valeur technique (Qualité du DPGF
1560,Valeur technique,Prix
1563,Prix,Dossier technique et références
1568,Prix : 70 points,Valeur technique (Qualité du DPGF
1569,Le prix des prestations apprécié en considérant en supplément des prix de base : 12 visites techniques sur bon de commande,La valeur technique appréciée sur la base des éléments transmis dans la notice technique dont notamment
1577,Prix,Valeur technique
1578,le prix des prestations apprécié au vu de la liste des prix et du détail estimatif rempli par le candidat,la valeur technique appréciée au vue des documents remis par le candidat
1582,Prix : 70 points,Valeur technique (qualité de la dpgf
1586,Prix des prestations,Justificatif de la proposition de rémunération au regard de létendue de la mission
1596,Technique,Prix
1597,Le prix,La valeur technique
1598,Valeur technique,Prix
1599,Lots 1 et 2 : Valeur technique jugée au vu des références (20% et des moyens techniques humains (40%,Lots 1 et 2 : Prix
1601,Prix,Valeur technique
1602,Prix des prestations,Valeur technique
1606,Prix des prestations,Prix des prestations : o Cout denrichissement emails
1607,Prix des prestations,Délai dintervention maintenance
1608,Qualité du mémoire,Coût
1612,Lot 01 : Prix des prestations,Lot 01 : Valeur technique
1616,Valeur technique,Prix des prestations
1630,prix,qualité des materiel
1631,Le prix,La valeur technique
1632,Prix des prestations,Délais dexécution
1635,Prix,Valeur technique
1638,Prix : 70 points,Valeur technique (Qualité du DPGF
1639,Le prix,La valeur technique
1641,Le prix,La valeur technique
1642,valeur technique des prestations,prix des prestations
1643,Valeur technique,Prix global de loffre
1644,Valeur technique,Prix
1645,Prix : 70 points,Valeur technique (Qualité du DPGF
1647,Prix : 70 points,Valeur technique (qualité de la DPGF
1650,valeur technique,prix des prestations
1651,Prix des prestations,Valeur technique de loffre sur la base du mémoire technique du candidat.
1655,Prix : comparé à loffre du moins-disant en prix suivant la méthode de dépouillement des offres qui sera jointe en annexe au règlement de la consultation,Valeur technique : conformément à ce qui sera défini en annexe au règlement de la consultation
1658,Prix,Valeur technique apprécié au regard de la qualité du mémoire technique
1664,Prix : 70 points,Valeur technique (qualité de la DPGF
1666,Prix : 60 points,Valeur technique : 40 points
1671,Valeur technique,Prix des prestations
1672,Prix des prestations,Valeur technique
1673,lot 1- valeur technique,lot 1 - prix
1676,Lots 1 à 4 : Valeur technique,Lots 1 à 4 : Prix des prestations
1677,Valeur technique (pondération : 60 points une sous pondération est décrite dans le règlement de consultation,Prix (pondération : 40 points
1684,Valeur technique,Prix des prestations
1685,Prix des prestations : 70 points,Valeur technique (qualité de la DPGF
1689,Prix,Technique
1690,prix,valeur technique de loffre et compétence
1691,Prix des prestations,Valeur technique
1693,Prix : 70 points,Valeur technique (qualité de la DPGF
1695,Garantie professionnelle et financière,Valeur technique des prestations
1699,Prix : 70 points,Valeur technique (qualité de la dpgf
1701,Prix,Valeur technique
1704,Prix des prestations : 70 points,Valeur technique (qualité de la DPGF
1706,Prix,Valeur technique
1710,Valeur technique,Prix
1715,Prix,Valeur technique
1720,Valeur technique,Prix
1721,Qualité,Prix
1723,Valeur technique,Prix des prestations
1729,Prix des prestations,Délais déxécution
1730,Valeur technique,Prix en fonction du DQE
1731,Prix des prestations,Valeur technique
1734,Prix des prestations,Caractère fonctionnel (Bien etre des agents
1736,Valeur technique de loffre appréciée à laide du mémoire technique,Prix
1737,Prix,Valeur technique
1739,valeur technique de loffre,prix des prestations
1740,Lot 1 : Moyens humains mis en oeuvre pour assurer linterprétariat,Lot 1 : Prix des prestations
1741,Prix (le pourcentage varie selon les lots Cf. RC,Valeur technique (le pourcentage et le détail varie selon les lots Cf. RC
1742,valeur technique,prix des prestations
1743,Valeur technique,Prix des prestations
1744,Valeur technique de loffre,prix
1745,Prix : 70 points,Valeur technique (qualité de la DPGF
1747,Valeur technique,Prix
1748,Prix,Valeur technique
1749,Prix des prestations,Valeur technique
1750,Prix,Valeur technique apprécié au regard de la qualité du cadre de réponses techniques
1751,PRIX : 70 %,VALEUR TECHNIQUE : 20 %
1752,Prix des prestations,Valeur technique (jugée sur le mémoire technique
1755,Valeur technique,Prix des prestations
1756,Prix - 70%,Délai dexécution - 20%
1759,Valeur technique,Prix des prestations
1767,Le prix,La valeur environnementale
1768,Prix,Valeur technique
1776,Critère 1-Prix des prestations,Critère 2-Valeur technique
1780,prix des prestations,méthodologie
1781,Prix des prestations,Valeur technique
1791,Valeur technique,Prix des prestations
1794,Prix,Valeur technique
1803,Valeur technique (moyens matériels et humains,Qualité (Références dans le domaine des VRD
1804,prix,valeur technique
1812,Critère 1-Valeur technique,Sous-critère 1.1-Description de la méthode de recharge en gravier des deux crépines
1813,Prix,Valeur technique
1814,valeur technique,prix des prestations
1829,valeur technique,prix des prestations
1834,Prix des prestations,Etendue des garanties
1841,Prix,Valeur technique
1846,Prix,Méthode et moyens mis en oeuvre
1850,valeur technique de loffre,prix
1854,Valeur technique des prestations et références,Prix des prestations
1860,Prix,Valeur technique de loffre
1864,Prix,Valeur technique
1866,Valeur technique,Prix
1868,Prix,Valeur technique
1870,prix des prestations,valeur technique analysée à partir du mémoire technique
1871,Prix des prestations,Mémoire technique
1872,Valeur technique de loffre (qualité du produit,Prix des prestations
1874,Valeur technique,Prix
1880,valeur technique,prix
1882,Critère 1 : Valeur technique,Sous-critère 1.1 : capacités techniques (moyens matériels de réparation des équipements
1883,Prix,Valeur technique
1886,prix des prestations,valeur technique
1887,la valeur technique de loffre,le prix des travaux
1891,valeur technique,prix
1892,Valeur technique,Prix
1895,Prix,Valeur technique
1897,Prix des prestations,Délai dexécution pour une opération
1907,Valeur technique de loffre,Prix des prestations
1919,Lot 02 : Pertinence de la démarche dinsertion professionnelle des publics en difficulté,Lot 01 : Pertinence de la démarche dinsertion professionnelle des publics en difficulté
1920,Lot 01 : Prix des prestations,Lot 01 : Qualité
1922,Prix des prestations,Efforts en matière de développement durable
1932,Valeur technique de loffre,Moyens humains affectés à la mission (équipe détude
1934,Lot 02 : Valeur technique de loffre,Autres lots : Prix des prestations
1942,Valeur technique de loffre,Prix des prestations
1952,Lot no1 : Valeur technique,Lot no1 : Coût
1954,Prix des prestations,Valeur technique
1958,Prix des prestations,Valeur technique
1959,Prix des prestations,Valeur technique
1961,Valeur technique,Prix
1962,Délais,Prix
1972,Valeur technique jugée au regard du mémoire technique et de lépreuve technique,Prix des prestations
1973,Valeur technique jugée au regard du mémoire technique,Prix des prestations
1974,Valeur technique jugée au regard du mémoire justificatif,Prix des prestations
1975,Prix des prestations,Valeur technique
1978,Prix des prestations,Valeur technique
1980,Lot 14 : Valeur technique,Lot 11 : Valeur technique
1982,Valeur technique,Prix des prestations
1983,Lot 01 : Valeur technique,Lot 01 : Prix des prestations
1985,Lot 03 : Valeur technique,Lot 03 : Prix des prestations
1987,Valeur technique,Prix des prestations
1989,Prix des prestations,Pertinence de la démarche dinsertion professionnelle des publics en difficultés
1992,Valeur technique,Prix des prestations
1993,Lot 01 : Valeur technique,Lot 01 : Prix des prestations
2000,Valeur technique de loffre,Prix des prestations
2001,Valeur technique,Prix
2002,Valeur technique,Coût
2011,Prix des prestations,Performances en matière de protection de lenvironnement
2021,Valeur technique,Coût
2031,Montant de loffre TTC (pour le lot 1 tranche optionnelle incluse,Valeur de la proposition technique (pour le lot 1 tranche optionnelle incluse
2032,Valeur technique,Prix des prestations
2040,Prix des prestations,Valeur technique de loffre appréciée à laide du mémoire technique
2046,Valeur technique jugée au regard du mémoire technique,Prix des prestations
2048,Valeur technique de loffre,Prix des prestations
2049,Lot 02 : Prix des prestations,Lot 02 : Valeur technique
2053,Valeur technique,Prix
